name	author	downloadCount	description	creationTime	downloadRate
The Temple Of Kakayaya	AlignedCookie88	243	Explore the mysterious temple, while watching out for traps, and looking for something...	1220	0.19918032786885245
Parkour Universe	the_buildy_bunch	8000	Very hard and long parkour map using Create	1483	5.394470667565745
PonderJS	kotakotik22	4700000	Allows creating ponder scenes and tags with Kubejs	1380	3405.7971014492755
Create Automated	kotakotik22	648000	Automate your Create factory with new machines!	1417	457.3041637261821
Create Gears	kotakotik22	1100000	Adds shaftless blocks to Create, like gears!	1444	761.7728531855955
FactoriOres Reforked	ajaxo_	4100	Updated/Maintained Port of FactoriOres to Forge	1304	3.144171779141104
More Create Stuffs	JerryLu086	1200000	Adds some recipes and items to Create related to other mods.	1581	759.0132827324478
Cogwheel Tweaker	Grimmauld	11200	Add Create cogwheels with contenttweaker	1528	7.329842931937173
Skyland Utils	ruifengx	47	Utilities for skylands survival with TiC 3 and Create 0.3.	1414	0.03323903818953324
Filler	Galaxy3056	281	Filler is a smaller mod for fixing modpacks and integrating mods with each other.	1462	0.19220246238030095
Boat Contraptions [Create Addon]	sashafiesta	85300	This mod allows you to make boat contraptions with the Create mod	1547	55.138978668390436
Create Addon: Thermal Expansion Alloys	sconedb	1800	Lets players create Thermal's alloys in a Create-friendly way.	1527	1.1787819253438114
Create Addon: Mekanism Alloys	sconedb	3300	Adds the ability to process and create Mekanism's alloys in a Create-friendly way.	1527	2.161100196463654
Create Integration	Grimmauld	307000	Mod to get FE and Create together	1858	165.23143164693218
Rotate	ProfessorAkaChris	2	Rotate is a Rotarycraft inspired Create addon	677	0.0029542097488921715
Create: Blood is Fuel!	Electrisoma	18	Create: Blood is Fuel! Lets you process mobs and food into fuel!	93	0.1935483870967742
cbot bc	Vol1t	5500	cbot port	42	130.95238095238096
Create: Garnished	DakotaPrideModding	829000	A Create Mod Addon that adds different food items, mainly nuts.	603	1374.792703150912
Create Nuclear	CreateNuclearTeam	169000	A Create addon that adds nuclear reactors to Create, along with all the dangers associated...	446	378.9237668161435
Delightful Creators [Fabric] (Create and Farmer's Delight Addon)	Flomik	465000	Making automation between Farmer's Delight and Create	727	639.614855570839
The Amazing Chocolatier	JPsama	4700	A chocolatey themed mod for Minecraft	107	43.925233644859816
Create: Framed	DakotaPrideModding	2700000	A Create mod addon that adds more Framed Glass variants.	535	5046.728971962617
Create BlueMap	szedann	42	A mod adding Create support to BlueMap	14	3
Create: Enchantable Machinery	Cotrin	586000	This mod allows you to apply some vanilla enchantment to Create blocks.	333	1759.7597597597598
Create: Trading Floor	CakeIsTastyDeveloper	2100000	Automate trading with villagers using create!	268	7835.820895522388
Create: Bitterballen	pyzpre	811000	A Create addon which adds Dutch snacks!	616	1316.5584415584415
Create: Escalated	rbasamoyai	76500	Bringing you to higher places in your Create mod builds	34	2250
Void Power (for Fabric)	llyycci	18	Fabric version of Void Power Mod, based on 1.20.1	24	0.75
Create: Tramways	C1200	10200	Create: Tramways adds a bunch of tram-related features.	219	46.57534246575342
Create: Cooking	MrPup	13900	Indulge your virtual taste buds with Create: Cooking	529	26.27599243856333
Iris & Oculus Flywheel Compat	leon_mout	25100000	Enable Flywheel's optimizations when use shaders.	1029	24392.614188532556
Create Realism	stacode	7300	A Create addon that adds a bunch of features to make Create trains more realistic.	110	66.36363636363636
Custom Machinery Create	frinn38	422000	Create support for Custom Machinery	760	555.2631578947369
Create: Missions	MuriPlz	451000	Economy for Create mod servers by granting weekly missions	639	705.7902973395932
Create: Lazy Engines	NatiM6	17700	Configurable Steam Engines	368	48.09782608695652
Create: New Age	nullBlade	14200000	Create: New Age is an addon for the Create mod that adds integration with electricity.	656	21646.341463414636
Garnished Stone Automation	DakotaPrideModding	5500	Makes Crimsite, Veridium, Asurine, and Ochrum automatable once again using Create: Garnished	318	17.29559748427673
Create: Vibrant Vaults	ZLT	45900	A Create mod addon that adds more item vaults.	45	1020
Create: Ironworks [Forge/Fabric/NeoForge]	robinfrt	238000	An addon for the Create mod bringing new materials (Tin, Bronze, Steel) and related items.	323	736.8421052631579
Create: Crafts & (More) Additions [Forge/Fabric]	robinfrt	60000	More blocks, items and tools for Create Crafts & Additions.	279	215.05376344086022
Create Ore Excavation	tom54541	10700000	Extract resources using machines powered by Rotational Force	1050	10190.47619047619
Create: Deepfried	pyzpre	567000	Adds fast food to the Create mod	446	1271.3004484304934
Rechiseled: Create	SuperMartijn642	13800000	Rechiseled: Create adds new decorative variants of blocks in Create!	696	19827.58620689655
Create: Estrogen	Mayaqq	5800000	Create Addon Based around expressing yourself, fluid handling and expanding your factory. This mod adds...	787	7369.758576874206
Create Cobblestone	MR_sticky_piston	595000	Adds a block generating cobblestone using SU, stopping cobblestone generators from eating your frames.	382	1557.5916230366493
Create: Charcoal to Diamonds	EnjoyerOfE	10000	!FABRIC IS CURRENTLY BUGGED, WILL REMOVE WHEN FIXED! An addon for the Create mod where...	150	66.66666666666667
Create Support for Open Parties and Claims	xaero96	5000000	Adds Fabric Create mod support to Open Parties and Claims	1050	4761.9047619047615
DANDYCORP Cobblemon Additions	dandyjay	937	Tweaks and additions for The DANDYCORP Pack.	136	6.889705882352941
Integrated Villages	CraisinLord	2600000	Overhauling villages with mod integration	1028	2529.182879377432
CoH item fixes	JPsama	502	This mod is for fixes caused by other mods in the Create-O-Holics mod pack	116	4.327586206896552
Create: Kryeit	MuriPlz	1200	Library bringing some Create mod Events	457	2.62582056892779
Create: Power Loader (Fabric)	Lysine	77700	A Create mod add-on adding immersive chunk loaders.	477	162.8930817610063
Create Sifting Fabric	Shulej	3300	Create Sifting	171	19.29824561403509
Ponder Overrides	Erdragh	106000	Allows overriding Create's Ponders via KubeJS	249	425.7028112449799
Seasonal Adventures	flyingmylife	349	Mod based on MrLololoshka's l.p.	345	1.0115942028985507
Respite Creators [Fabric] (Create and Farmer's Respite Addon)	Flomik	470000	Making automation between Farmers's Respite (Addon for Farmer's Delight) and Create	668	703.5928143712575
Create: Storage	foxynotail	81100	A lightweight storage addon for the Create Mod featuring Storage Boxes and Backpacks	398	203.76884422110552
Create: P&S	TheClashFruit	766	A Create add-on that adds piss and shit to the game with interesting mechanics!	317	2.416403785488959
FlowerCrops	artanjp	3400	A total of 25 types of flowers, 13 default and 12 new, will be available...	1195	2.8451882845188283
KubeJS Create for Fabric	TheSadGuy	19500	KubeJS integration within Create for Fabric 1.20.1	301	64.78405315614619
Cultural Creators [Fabric] (Create and Cultural Delights Addon)	Flomik	38300	Making automation between Cultural Delights (Addon for Farmer's Delight) and Create	533	71.85741088180113
Create: Molten Metals	OrdanaryMods	352000	Melt down metals, cast ingots and engage in metallurgy with Create: Molten Metals	406	866.9950738916256
Create: Connected Fabric [experimental]	sashafiesta	32200	Partial UNOFFICIAL port of Create: Connected	417	77.21822541966426
Create: Diesel Generators [Fabric]	MrSterner_	272000	A mod that adds Diesel Generators to the create mod.	654	415.9021406727829
Create Deco Fabric	talrey	3600000	Industrial decoration themed around the aesthetics of the Create mod.	905	3977.9005524861877
Create: Netherless (Fabric)	Mlodziak00	18500	A Create Add-on that allows you to gather Nether resources without the need of the...	455	40.65934065934066
Create: Extended Cogwheels Fabric	Rabbitminers	1700000	A small mod to add more cog types to create fabric	870	1954.0229885057472
Create: Switzerland	HackFight	853	A Create mod addon that adds Swiss stuff such as better chocolate.	466	1.8304721030042919
Create: Enchantment Industry - Fabric	DragonsPlus	1800000	Automatic Enchanting, with Create.	724	2486.1878453038676
Saro´s Create [Fabric/Quilt]	Sarocesch	25500	An Addon For The Mod Create Adds New Recipes	826	30.871670702179177
Chronost Foods [Fabric]	moxg	378	Adds foods using various mods for fabric and custom foods	661	0.5718608169440242
Create: Mixin mob and drops	SmiteGee	33	Mixing mob drops	646	0.05108359133126935
CreateFabric&REIBugFix	TexTrue	1200000	Fix CreateFabric Recipe display on REI issues.	795	1509.433962264151
CreateDPCompat	Misigno	2500	Compatibility mod between Create-Fabric and Datapack Portals. Enables trains to go through custom portals to...	648	3.8580246913580245
Astral Vinery	Erdragh	542000	Improves on the Vinery mod in some ways for the Create: Astral modpack	824	657.7669902912621
Create's Delight	Phoupraw	1000	Mainly add interaction between create and farmer's delight and unique food processing.	835	1.1976047904191616
Create Sifting Refabricated	Monster__zero	487000	Create Sifting	886	549.6613995485327
Create: Extended Flywheels Fabric	Rabbitminers	842000	A small mod to add on to Create by adding numerous new flywheels and bringing...	903	932.4473975636766
Create More Potatoes [Fabric]	Forsteri123	3600	Potato product, Projectable Foods	925	3.891891891891892
CreatePlus	Yjn024	642000	Compatibility enchantments for Create Fabric	1120	573.2142857142857
[Discontinued] Create: Sustainable	CroakAndRoll	1200	A create mod addon that adds some more crafting recipes.	311	3.8585209003215435
Oh no: Create Utilities	InfinityUniverse999	5600	Some Oh no: Create Utilities	271	20.66420664206642
Deeper Drilling	laptoppunk	89	An addon for Deep Drilling, expanding modded compatibility.	15	5.933333333333334
Gravitas² Re-Cored	thevortexFoxTopia	73700	Continuation of Gravitas2 coremod due to discontinuation by original dev	488	151.02459016393442
Create: Delivery Director	LiukRast	1800	Adds a bunch of new features for Create Packages	17	105.88235294117646
Create: Occult Engineering	irishgreencitrus	9500	An integration between Occultism and the Create Mod.	107	88.78504672897196
Create Sifting	oierbravo	5500000	Sifter for create	1027	5355.404089581305
Create: Nuka Cola Classic	JCS	30500	Adds Nuka Cola to Minecraft!	376	81.11702127659575
Create: Magic Recipes	Clenner	462	This mod adds some cool recipes to Create!	69	6.695652173913044
Create - Forge Frontier Core	LandscapesReimagined	3300	Mod that provides various content and tweaks to other mods for the Create: Forge Frontier...	145	22.75862068965517
Create Mechanical Spawner	oierbravo	943000	A mechanical spawner block. Generates Mobs with rotation power.	856	1101.6355140186915
Create: Designed Decor	CreateModFan154	2200	Thank You for 2k downloads; **Designed Decor** is a lightweight Create mod add-on focused on...	57	38.59649122807018
Create: Dreams n' Desires Updated to Create 6	LandscapesReimagined	1600	This is an addon to Create: Dreams n' Desires that makes it compatible with Create...	17	94.11764705882354
Create: Mechanical Companion	MarcosJoestar	4500	Get ready to explore the world with a mechanical friend! Equippable with new modules that...	27	166.66666666666666
Create: Quality Of Life	iglee42	336000	Adds quality of life things for Create Mod	657	511.41552511415523
Create: Cardboard Things	Chaolux	537	Fun addon that adds 9 cardboard-based items with unique mechanics.	22	24.40909090909091
Create: Compounds	Project8gbDeRam	12600	Brings back Create's compounds from 1.16 !	373	33.78016085790885
Create: Simple Generator	ld_anvil	13800	Just adds a simple block that converts stresses to FE.	65	212.30769230769232
Survive in the Winter Frontier	Viola_Siemens	37000	A mod for modpack "The Winter Frontier" about surviving in the extreme situation.	521	71.0172744721689
Create Many More Mechanisms	maougaukken__	2400	Different mechanisms for modpack developers	90	26.666666666666668
Create: Central Kitchen	DragonsPlus	14200000	Automatic Kitchen Work & Integration	858	16550.11655011655
Create: Dragons Plus	DragonsPlus	839000	Provide convenient features to players and dev utilities for Create addon developers.	92	9119.565217391304
Greate	Electrolyte	7900	Gregifying Create	667	11.84407796101949
Create: Ender Link	Cotrin	163000	This mod add EnderVault and EnderTank.	69	2362.31884057971
Create: Power Loader	Lysine	3300000	A Create mod add-on adding immersive chunk loaders.	576	5729.166666666667
Create: Enchantment Industry	DragonsPlus	24300000	Automatic Enchanting, with Create.	968	25103.30578512397
Create: Chromatic Return Extras	Neeco_Arc	7800	adds recipes for the creative fluid tank and item crate and fixes a problem with...	153	50.98039215686274
Create: Mobile Packages Unofficial	DadudeGaming	521	A Edited Minecraft mod that adds support for delivering Create Mod Packages directly to the...	25	20.84
Create: Arm-made Cuisine	P1nero	1400	Make Mechanical Arm interacting with Cuisine Skillet.	23	60.869565217391305
Create: Molten Vents	Apothicon	1400000	A renewable source of create's orestones	851	1645.123384253819
Alloyed Mining	therealzekedev15222	22	dds a new way to obtain Andesite Alloy	21	1.0476190476190477
Create: Defensive	AepheraStudios	2100	Create: Defensive adds a bunch of new armor sets including ones made from Create mod...	56	37.5
Create: Back on Track Core	terentre4e25caracteres	10100	16 Exclusive Machines made for the Create: Back on Track modpack	92	109.78260869565217
Create Jet boots	oierbravo	2500	Simple boots that allow flying using air.	51	49.01960784313726
Create: Fuel Motor	Reggarf	4000	Create Fuel Motor adds a customizable, fuel powered kinetic motor to the Create mod. Generate...	51	78.43137254901961
Create Mechanical Cow	oierbravo	31500	Kinetic Milk generator	57	552.6315789473684
Create Mechanical Chicken	oierbravo	266000	Egg generator block addon for create.	260	1023.0769230769231
Mechanical trading station	oierbravo	2600	Trading station with create power	649	4.006163328197227
Create: Limited Draining	JasdewStarfield	469	A Create addon that allows you to control the biomes to drain certain fluids infinitely.	23	20.391304347826086
Create: Sound of Steam	finchymcfinch	117000	A Create addon that adds pipe organs!	121	966.9421487603306
Create: Compatible Storage	Dadamalda	4600	Having issues with Quark's chests on Create contraptions? This mod fixes them.	50	92
Create: Cobblemon Balls Overhaul	xKcinnay	7400	Addon for Create and Cobblemon that balance and add recipes for Cobblemon balls to work...	40	185
Create: Classic Blaze Enchanter	DragonsPlus	2400	Bring Classic Blaze Enchanter of Legacy Create: Enchantment Industry back to C:EI 2.+	56	42.857142857142854
Create:Entity Control	Pink_Cats	524	A simple Create attachment that enables custom block entity configurations and can be configured to...	39	13.435897435897436
Create: Direct Chute	LiukRast	703	Adds a new chute to create mod	34	20.676470588235293
Create: Packagers PSI Compat	LiukRast	3400	Allows Create packagers to interact with PSI (Portable storage interfaces)	34	100
Create Vampirism	JoGamer207	5100	A Create mod for Vampirism	62	82.25806451612904
Create:Fluid Stuffs	moepus	6400	A Create Addon adds some fluid stuffs	161	39.75155279503105
Create: Enhanced Mastery	AepheraStudios	735	Integration Layer between Create and Iron's Spells n' Spellbooks.	28	26.25
Create: Liquid Fuel	Forsteri123	2900000	Pump in liquid fuel to blaze burners	810	3580.246913580247
Create: Clothes	CeoOfGoogle1	3800	PRIMARILY ADDS MILITARY UNIFORMS but also other clothes	31	122.58064516129032
EMI: Create Schematics	LiukRast	128000	Add schematic items to EMI Favourites list	567	225.7495590828924
Create: Chimneys	FuriusMaximus	90100	Adds chimneys with smoke particles for the trains from the Create mod.	340	265
Master of Machinery	CatfishPhasma	548	A mod for a specific server, although it probably can be used on its own.	106	5.169811320754717
Create: Better Villager	Reggarf	409000	Create: Better Villager that adds a host of Create-mod villager professions | Forge/Neoforge and...	258	1585.2713178294573
Create: Dimension, Steamworks Realm	Reggarf	17500	Create: Dimension, Steamworks Realm introduces a brand-new mining-focused dimension, designed for automation and large-scale resource...	95	184.21052631578948
Quantum Lands	Kykokos	21	Helper mod for Quantum Horizon modpack but can stand on its own.......	34	0.6176470588235294
Create Mechanical Extruder	oierbravo	2500000	A mechanical extruder block. Can be used to generate any block or item from adjacent...	978	2556.237218813906
Create Immersive Unnecessary Shaft	pm777x2	962	Bridge Create's Stress Unit to rotational machines from Immersive Engineering using the new treated wood...	34	28.294117647058822
Create: Asbestos And More	notlilswift	7600	A simple mod adding asbestos, and ways to use it.	293	25.938566552901023
TofuCreate	baguchiMC	18600	A mod that connects create mod and tofucraftreload!	601	30.948419301164726
Create: Chicken Nuggets	MaritheVillain	789	An extension of create that allows you to make chicken nuggets, and dino chicken nuggets	35	22.542857142857144
Create: Air Ducts	ATeamOf_1	33800	A WIP add-on for Create that lets you take control of airflow like never before!	68	497.05882352941177
CrushBlock	celyarbx	199	CrushBlock – The Ultimate Item Crushing Mod!	81	2.45679012345679
Create Confectionery	Furti_Two	13400000	🍫 Create your own Chocolate Factory !	1351	9918.57883049593
Create: Gunsmithing	Jetug	28800	Adds guns to the Create mod	124	232.25806451612902
Modular Machinery Reborn Create	marcin212a	222	The mod includes Kinetic input/output hatches for MMR	38	5.842105263157895
Automatic Ore No More: Spelunkery	ximossi	5	Disabling ore generation through Spelunkery's sluice.	39	0.1282051282051282
Automatic Ore No More: Create	ximossi	12	No more automatic ore farms with Create. This lightweight Data Pack modifies only the relecant...	39	0.3076923076923077
WoodenCog	Manwe_b	52900	Tfc - Create Compatibility mod	146	362.32876712328766
Create: Everdrill	bisson2000	786	Adds a drill that can mine blocks forever	52	15.115384615384615
Create: Mechanical Botania	Micaxs	228000	This mod allows you to convert Botania Mana to Create Rotational Energy	417	546.7625899280575
Create Big Cannons: Advanced Technologies	dsvv_modding	202000	An Addon for the Create Big Cannons Mod, adding new Cannons and Mechanics	145	1393.103448275862
Create Factory Ball	Kokoio	1300	Compatibility between Cobblemon and Create	49	26.53061224489796
Create: Crate Stuff (Broken Bad Addon)	ascens_but_on_curseforge	1200	An addon to Broken Bad to provide more product storage blocks and uses.	45	26.666666666666668
Create: Wizardry	thetruezeraora	387000	This is an addon mod for Create adding enhanced compatibility with Iron's Spells and Spellbooks....	543	712.707182320442
Create Ore Excavation Plus	tiestoettoet08	155000	Makes it harder to get diamonds and emeralds in Create Ore Excavation and the possibility...	911	170.14270032930844
Create Enchantment Industry Plus	tiestoettoet08	58700	Adds Sacs where you can fill them with ink so you get ink sacs	896	65.51339285714286
Create: Pillager Arise	SmartStreamLabs	89800	10 new create 'mod' structures for in game! ( Defended by pillagers )	281	319.5729537366548
Create Stuff 'N Additions	Furti_Two	18700000	🧲 Dominate your environment with Create technology	1527	12246.234446627373
Create: Spring Loaded	Blzinite	19300	Adds a Torsion Spring Motor to release stored energy in the backtanks	290	66.55172413793103
Create: Tinker's Compat	danniitv_	40700	Make raw crushed ore meltable in smelterys. (i didnt realize this got updated, and it...	98	415.3061224489796
Create: Originium Industry	Zack_ZHU	7	A story about a brand new ore - Originium, inspired by Arknights.	50	0.14
Create more crushed ores	Dankest0	255	Datapack that modifies the original recipes for Create's crushed ores, making them more worthwhile to...	50	5.1
Create Powderlogy & Illumination	knalli65hd	44300	A Extended Bridge Between Create and Powder & More Remastered	1039	42.63715110683349
Create: Train Announcer	CEntertain	1100	A joke addon for Create that adds a funny train announcer block.	51	21.568627450980394
Create: Metallurgy	Luc_Creeper74	1500000	Create Metallurgy is a Create Mod Addon adding new metallurgy processings.	413	3631.9612590799034
Create Cheezy	Heyimlennon	429	This is a Create addon that adds cheese and more with some new meme and...	79	5.430379746835443
Create Arbitrary	Ri0t69	701	A Create Add-on that adds Arbitrary additions	52	13.48076923076923
Create: Reforged Foundations	YenHusk	21400	New recipes to obtain most of the blocks and vanilla items in the game.	242	88.4297520661157
Create: Cardboarded Conveynience	TakeruDavis	7500	A small tweak allowing players to be disguised as packages even on chain conveyor. Extra...	73	102.73972602739725
Petrolpark Library	Petrolpark	495000	Shared code for my mods	283	1749.1166077738517
Petrol's Parts (Create add-on)	Petrolpark	485000	New and unique kinetic components for Create	283	1713.7809187279152
SGJ: Ponder	JajaSteele	2800	A mod that adds Create pondering to preview stargate variants of Stargate Journey	272	10.294117647058824
Create: Winery [Forge/NeoForge]	robinfrt	361000	Build your own winery with Create.	174	2074.712643678161
Kitku Create	Marcieo_MP	2	Adds new recipes.	57	0.03508771929824561
Create: Cataclysm	Poly12gon	5300	Empower your "Create" factory by beating "Cataclysm" bosses	57	92.98245614035088
Create: Security Program	To0pa	43400	💳 Secure your factories and add tickets to your train network!	89	487.64044943820227
Valkyrien Skies Copycat Mass Fix	axew13	239	Changes the Valkyrien Skies mass of Create copycats to be accurate to their size/consistent with...	59	4.0508474576271185
Create: Truly Modular	almightytallestred	1100	Allow Truly Modular's Scuba Helmet to work with Create back tanks.	60	18.333333333333332
Create: Simple Coins	GreatCowG	1100	Add-on for Create that adds coins to use as currency in multiplayer	66	16.666666666666668
Create: Stam1o Tweaks	LieOnLion	45700	Tweaks to Create and Minecraft for Stam1o, Developed and Published by - LieOn Studios	63	725.3968253968254
Create: Metalwork	average_anime	396000	Create: Metalwork is an add-on for Create that introduces new fluids and crushed ores that...	502	788.8446215139443
Create: Mobile Packages	timplay33	26600	Create: Mobile Packages	70	380
Create: Connected	Lysine	5000000	A Create mod add-on adding quality-of-life blocks that you wish existed in Create.	549	9107.468123861567
Create: Armor Blocks	CeoOfGoogle1	28	Simple armor blocks to use on tanks and planes and ships	NaN	NaN
Create: Applied Kinetics	Forsteri123	958000	Applied Kinetics's integration with Create	742	1291.1051212938005
Create: Storage [Neo/Forge]	ausmez	353	A lightweight storage addon for the Create Mod featuring Storage Boxes and Backpacks	NaN	NaN
Waifing - Passive Skill Tree	Dankest0	21	Datapack that modifies and adds skills for Iron's Spells' N Spellbooks, Create, Apotheosis & ParCool!...	NaN	NaN
Create : CROWNS	RealAntEngineer	12500	Generate SU with Nuclear power and turbines	496	25.201612903225808
SmarterContraptionStorage	user_rq0ekri1vs64p5ev	2300	A mod to make create contraption storage system smarter	348	6.609195402298851
Create: Garnished Reworked	DakotaPrideModding	557	Create: Garnished reworked to be more friendly for new players and less overwhelming.	64	8.703125
Create: Hypertubes	Rokzin	293	Travel arround the world with tubes!	NaN	NaN
Create : New Furnitures	arginou57	61600	Create Furnitures Mod Multiplayer 3rd Party Chair Seat	171	360.233918128655
Vintage Improvenents - SSW Edition	SSWTLZZ69	917	the unofficial version of Vintage Improvements	40	22.925
Create Alchemist's Industry	ironforcefeild	71400	Magical methods to massively master mass-production	772	92.48704663212435
Create: Vault Interfaces	furtabs	113	A block to extend Create Vaults.	6	18.833333333333332
Create Ultimine	ChAoS_UnItY_	44800	A Create mod addon that supports FTB Ultimine functionality	72	622.2222222222222
CBC: Warium Projectiles	SergeantAtoXXV	8600	An addon that adds Warium projectiles to CBC.	77	111.68831168831169
